teamname,goalnetstanchioncolor2r,hastifo,stadiumgoalnetstyle,utcoffset,teamcolor1b,crowdregion,gender,captainid,popularity,iscompetitioncrowdcardsenabled,numtransfersin,teamcolor3b,matchdaymidfieldrating,youthdevelopment,personalityid,pitchlinecolor,crowdskintonecode,teamcolor2r,stadiumgoalnetpattern,freekicktakerid,genericint2,opponentstrongthreshold,powid,hasstandingcrowd,longitude,genericint1,teamcolor3g,goalnetstanchioncolor1g,teamcolor2b,favoriteteamsheetid,clubworth,haslargeflag,midfieldrating,trait1vequal,presassetone,teamstadiumcapacity,goalnetstanchioncolor1b,teamcolor3r,rightfreekicktakerid,attackrating,overallrating,presassettwo,opponentweakthreshold,teamcolor1g,throwerright,hasvikingclap,iscompetitionscarfenabled,goalnetstanchioncolor1r,leftfreekicktakerid,longkicktakerid,trainingstadium,skinnyflags,stanchionflamethrower,cksupport6,prev_el_champ,uefa_consecutive_wins,ethnicity,trait1vstrong,defenserating,leaguetitles,cksupport2,stadiummowpattern_code,iscompetitionpoleflagenabled,internationalprestige,rivalteam,rightcornerkicktakerid,cksupport9,goalnetstanchioncolor2b,cksupport8,uefa_cl_wins,penaltytakerid,profitability,uefa_uecl_wins,genericbanner,matchdayattackrating,hassubstitutionboard,pitchwear,trait1vweak,teamcolor1r,pitchcolor,teamid,buildupplay,cksupport5,defensivedepth,cksupport3,goalnetstanchioncolor2g,cityid,cksupport4,domesticprestige,flamethrowercannon,ballid,form,teamcolor2g,cksupport7,latitude,matchdayoverallrating,hassuncanthem,cksupport1,cornerflagpolecolor,isbannerenabled,playsurfacetype,throwerleft,leftcornerkicktakerid,foundationyear,assetid,uefa_el_wins,matchdaydefenserating,jerseytype,domesticcups
Raków,255,0,0,1,30,5,0,254822,3,0,0,255,69,2,1,0,2,52,0,222467,-1,1,-1,1,19,69,255,30,193,-1,13358,0,69,66688,0,5500,30,255,222467,71,69,0,1,30,262314,0,1,200,222467,222467,316,0,0,262314,0,0,1,139392,69,1,235398,1,1,3,301,222467,235398,255,244762,0,262314,10,0,0,71,0,0,66688,240,4,114326,1,243870,90,262314,255,750,251411,9,0,93,0,97,222467,50,69,0,244762,0,1,0,262314,222467,1921,114326,0,69,2,2
CFR 1907 Cluj,255,0,0,2,58,5,0,191058,4,0,0,255,68,6,1,0,2,12,0,73406,-1,1,-1,1,23,67,255,255,12,-1,12065,0,68,264448,0,22198,255,255,251236,66,67,0,1,27,227427,0,1,255,73406,73406,316,0,0,227427,0,0,4,526592,66,8,205983,3,1,4,110751,251236,251236,255,79430,0,205983,8,0,0,66,0,0,4198656,135,4,114385,3,191058,50,227427,255,701,250952,10,0,79,0,12,73406,46,67,0,79430,0,1,0,227427,73406,1907,114385,0,66,2,5
Casa Pia AC,215,0,0,0,0,4,0,171791,1,0,0,0,68,3,1,0,2,114,0,231753,-1,1,-1,1,-9,70,64,215,22,-1,17000,0,68,532736,0,6981,215,136,231753,69,70,0,1,232,77186,0,1,215,231753,231753,316,0,0,77186,0,0,4,528640,68,0,247180,1,1,1,10020,231753,247180,215,231753,0,211561,5,0,0,69,0,0,270592,255,4,114510,2,270587,30,77186,215,281,214606,3,0,36,0,5,211561,38,70,0,211561,0,1,0,77186,231753,1920,114510,0,68,2,0
FC Metaloglobus,45,0,0,2,120,5,0,233868,1,0,0,120,62,3,0,0,2,45,0,79060,-1,1,-1,1,26,62,200,200,196,-1,1985,0,62,532480,0,4500,120,80,79060,62,62,0,1,200,236985,0,1,80,79060,79060,316,0,0,236985,0,0,5,528384,60,0,276652,0,1,1,100757,79060,228974,196,276652,0,79060,2,0,0,62,0,0,270336,80,4,114545,2,79437,30,236985,104,768,228974,2,0,79,0,104,218738,44,62,0,218738,0,1,0,236985,79060,1923,114545,0,60,2,0
FK Csíkszereda,255,0,0,2,21,5,0,262706,1,0,0,21,62,2,0,0,2,0,0,262706,-1,1,-1,1,25,62,21,255,0,-1,2450,0,62,526336,0,4000,255,214,262706,64,62,0,1,21,205760,0,1,255,262706,262706,316,0,0,205760,0,0,3,526336,62,0,78706,1,1,4,100757,262706,262706,255,78706,0,78704,2,0,0,64,0,0,266240,214,4,114546,3,247966,30,205760,255,970,79694,2,0,79,0,0,79180,46,62,0,79180,0,1,0,205760,78704,1904,114546,0,62,2,0
FC Andorra,255,0,0,1,129,4,0,230134,1,0,0,15,66,6,0,0,2,252,0,263006,-1,1,-1,2,1,67,20,255,21,-1,2500,0,66,525312,0,5108,255,250,263006,67,67,0,1,17,75437,0,2,255,263006,75437,316,0,0,75437,0,0,2,532480,67,0,273022,1,2,1,110062,263006,266100,255,273022,0,260044,6,0,0,67,0,0,263168,27,4,114554,1,277311,30,75437,255,912,266100,1,0,69,0,208,260044,42,67,0,260044,0,1,0,75437,263006,1942,114554,0,67,2,0
Always Ready,248,0,0,-4,250,1,0,69960,3,0,0,250,65,2,0,0,7,250,0,233569,-1,1,-1,1,-68,66,250,249,13,-1,10650,0,65,270592,0,25000,249,250,233569,67,66,0,1,250,217201,0,0,248,226659,267457,366,1,0,217201,0,0,3,528640,66,4,267457,3,1,2,110968,226659,233569,249,267457,0,233569,5,0,0,67,0,0,4202752,250,4,114577,2,83018,50,217201,249,804,69960,4,0,111,0,27,83498,-16,66,0,83498,0,1,0,217201,233569,1933,114577,0,66,2,0
Macará,255,0,0,-5,219,1,0,251917,3,2,0,129,66,4,0,0,7,231,1,254055,-1,1,-1,1,-78,66,65,255,232,-1,4000,0,66,526336,0,16467,255,35,254055,66,66,0,1,179,84439,0,2,255,254055,254055,316,0,0,84439,0,0,4,526336,66,0,84441,0,2,3,110986,254055,254131,255,84441,0,84440,3,0,0,66,0,0,266240,134,4,114578,3,254038,30,84439,255,784,254131,5,0,111,0,232,84440,-1,66,0,84440,0,1,0,84439,254055,1939,114578,0,66,2,0
Macarthur FC,1,0,0,10,1,3,0,199159,1,0,0,1,62,1,0,0,2,255,0,209886,-1,1,-1,2,150,63,1,1,255,-1,8571,0,62,270416,0,20000,1,1,209886,66,63,0,1,1,209885,0,1,1,209886,199159,316,0,0,209885,0,0,3,528464,62,0,71161,1,1,1,111400,209886,71161,1,239626,0,239626,5,0,0,66,0,0,4202576,1,4,114604,2,242057,50,209885,1,472,225053,1,0,54,0,255,209886,-34,63,0,239626,0,2,0,209885,199159,2020,114604,0,62,2,2
Puerto Cabello,250,0,0,-4,1,1,0,250842,1,0,0,250,67,1,0,0,7,2,0,244834,-1,1,-1,1,-68,66,250,250,129,-1,14000,0,67,270336,0,7500,250,250,244834,67,66,0,1,82,244834,0,2,250,244834,182896,316,1,0,244834,0,0,3,528384,66,0,259979,10,2,3,110991,182896,253828,250,259979,0,244834,6,0,0,67,0,0,4202496,231,4,114611,2,272329,50,244834,250,837,253828,7,0,111,0,25,253911,10,66,0,253911,0,0,0,244834,182896,2014,114611,0,66,2,0
Meizhou Hakka FC,1,0,0,8,38,2,0,231956,2,0,0,1,59,3,0,0,4,255,0,272540,-1,1,-1,0,115,60,1,20,255,-1,4880,0,59,264192,0,27000,38,1,272540,65,60,0,1,20,227509,0,0,151,272540,272540,316,0,0,227509,0,0,4,526336,60,0,240392,1,1,1,131487,247195,247195,1,272540,0,227509,4,0,0,65,0,0,4198400,151,4,114628,3,224556,50,227509,1,895,77572,3,4,75,0,255,221815,23,60,0,221815,0,1,0,227509,272540,2013,114628,0,60,2,0
Charlotte FC,12,0,0,-6,200,6,0,189280,5,0,0,255,72,2,0,0,2,1,0,189280,-1,1,-1,2,-80,71,255,12,1,-1,170000,0,72,4198656,0,38000,12,255,241985,68,71,0,1,133,75295,0,1,12,189280,241985,316,0,0,75295,0,0,1,264448,68,0,269913,0,1,1,112885,241985,269913,12,198717,0,75295,6,0,0,68,0,1,4202752,26,4,114640,3,206086,50,75295,12,817,246299,2,0,134,0,1,241985,35,71,0,198717,0,1,0,75295,189280,2020,114640,0,68,2,0
Punjab FC,255,0,0,6,45,1,0,224358,2,0,0,20,56,5,0,0,9,245,0,224358,-1,1,-1,0,77,57,20,255,245,-1,1400,0,56,270464,0,60254,255,20,224358,60,57,0,1,118,77189,0,1,255,224358,224358,316,0,0,77189,0,0,2,528512,56,0,278941,1,0,1,113146,224358,278941,255,74001,0,224358,8,0,0,60,0,0,4202624,229,4,115202,2,81923,50,77189,255,925,266720,2,0,6,0,245,224358,28,57,0,74001,0,0,0,77189,224358,2005,115202,0,56,2,0
Denmark,255,0,0,1,45,7,1,271347,0,0,0,45,76,0,0,0,2,255,0,259287,-1,2,-1,0,12,75,16,255,255,-1,0,0,76,132112,0,38065,255,200,264946,74,75,0,2,16,273099,0,1,255,264946,264946,316,0,0,273099,0,0,2,4202512,75,0,265012,0,1,2,113008,277173,265012,255,277173,0,264946,0,0,0,74,0,0,132112,200,4,115362,1,266601,65,273099,255,248,271347,10,0,88,0,255,273171,55,75,0,264946,0,1,0,273099,277173,1889,115362,0,75,2,0
Dep. Riestra,255,0,0,-3,255,1,0,243977,1,0,0,255,65,3,0,0,7,32,0,243977,-1,1,-1,0,-58,65,255,255,32,-1,5000,0,65,264192,0,3000,255,255,243977,67,65,2,1,255,243977,0,0,255,243977,70053,316,0,0,243977,0,0,4,526336,64,0,70053,15,0,1,111710,242485,242485,255,266838,0,243977,6,0,0,67,0,0,4198400,255,4,115472,3,77005,50,243977,255,82,258048,1,0,190,0,30,246108,-34,65,0,246108,0,1,0,243977,266838,1931,115472,0,64,2,0
Ind. Petrolero,248,0,0,-4,14,1,0,211339,3,0,0,14,66,2,0,0,7,255,0,211339,-1,1,-1,1,56,65,14,248,255,-1,7020,0,66,270592,0,32700,248,226,211339,65,65,0,1,14,267534,0,1,248,211339,211339,366,1,0,267534,0,0,3,528640,64,1,215735,0,1,1,110968,211339,221318,248,215735,0,211339,8,0,0,65,0,0,4202752,226,4,115517,2,254375,50,267534,248,879,221318,6,0,111,0,255,254403,19,65,0,254403,0,1,0,267534,211339,1992,115517,0,64,2,0
Portugal,215,0,0,0,15,4,1,261829,0,0,0,0,77,0,0,0,2,0,0,261833,-1,2,-1,1,-9,76,130,215,2,-1,0,0,77,263232,0,32830,215,20,261829,75,75,0,2,10,261837,0,1,215,261855,261829,316,0,0,261837,0,0,4,532544,74,0,261855,1,1,4,113012,261855,261829,215,261855,0,261837,0,0,0,75,0,0,263232,210,4,115682,1,261835,30,261837,215,281,261845,10,0,88,0,100,261852,38,75,0,261852,0,1,0,261837,261855,1914,115682,0,74,2,0
UCV FC,255,0,0,-4,225,1,0,259859,5,0,0,1,66,5,0,0,7,255,0,242110,-1,1,-1,1,-67,67,1,255,51,-1,5000,0,66,139264,0,24264,255,255,242110,70,67,0,1,8,259858,0,2,255,242110,273026,316,1,0,259858,0,0,1,4198400,66,4,76020,3,2,5,110989,273026,76020,255,247780,0,242110,5,0,0,70,0,0,139264,9,4,115693,2,259980,65,259858,255,800,242378,5,0,111,0,248,242110,10,67,0,247780,0,1,0,259858,242110,1950,115693,0,66,2,1
Latium,50,0,0,1,171,4,0,220502,8,0,0,255,77,6,0,0,2,250,0,245275,-1,2,-1,1,12,78,178,69,250,-1,422475,0,77,4195728,0,70634,171,102,245275,77,78,0,2,69,220502,0,1,50,251530,245275,316,0,0,220502,0,0,2,270736,78,2,263929,1,1,7,52,245275,255009,171,263929,0,220502,1,0,0,77,0,0,132496,50,4,115841,1,255001,50,220502,69,408,255009,7,0,47,0,250,255611,41,78,0,255611,0,1,0,220502,251530,1900,115841,0,78,2,7
Bergamo Calcio,12,0,0,1,12,4,0,208461,7,1,0,250,78,6,0,0,2,30,0,251470,-1,2,-1,1,9,79,250,12,180,-1,687000,0,78,132224,0,24276,12,250,216150,77,79,0,2,12,277839,0,1,12,251470,216150,316,0,0,277839,0,0,4,4202624,78,0,266866,1,1,6,1745,74574,74574,12,251470,0,266866,7,0,0,77,0,0,132224,12,4,115845,1,216150,65,277839,12,45,208461,7,0,47,0,100,253002,45,79,0,251470,0,1,0,277839,253002,1907,115845,1,78,2,1
Al Najmah,165,0,0,3,96,8,0,215651,9,0,0,17,66,8,0,0,2,165,0,255109,-1,1,-1,1,44,64,12,108,173,-1,1200,0,66,264192,0,30180,96,6,255109,64,64,0,1,108,271673,0,1,20,255109,255109,316,0,0,271673,0,0,2,526336,61,0,255109,1,1,1,113222,251294,255109,173,251294,0,255109,2,0,0,64,0,1,4198400,20,4,115892,3,81875,50,271673,170,976,83651,2,0,67,0,170,261636,26,64,0,261636,0,1,0,271673,251294,1960,115892,0,61,2,0
FC Bayern München,255,0,1,1,60,4,1,264886,10,0,0,1,84,7,0,0,2,255,0,239344,-1,3,-1,1,11,83,1,1,255,-1,100000,0,84,66048,0,2500,1,1,239344,83,83,0,3,1,277452,0,1,200,239344,239344,366,0,0,277452,0,0,2,73728,81,7,239345,1,0,8,115998,248822,239345,255,248822,0,243404,10,0,0,83,0,0,66048,255,4,115995,1,266933,90,277452,255,333,243404,10,0,90,0,255,259287,48,83,0,259287,0,1,0,277452,248822,1900,115995,0,81,2,2
Leverkusen,210,0,0,1,1,4,1,264922,5,0,0,255,75,6,1,0,2,1,0,265377,-1,2,-1,1,7,76,255,210,1,-1,10000,0,75,4202496,0,30210,210,255,265377,78,76,0,2,1,265377,0,1,210,265377,265042,366,0,0,265377,0,0,2,266240,76,0,265042,1,0,6,116003,265377,265042,210,264922,0,265377,8,0,0,78,1,0,132096,255,4,115996,2,76433,50,73014,210,277,264929,7,0,90,0,1,73014,51,76,0,264922,0,1,0,265377,277264,1904,115996,0,76,2,0
Frankfurt,1,0,0,1,1,4,1,264936,8,0,0,19,81,8,0,0,2,255,0,265121,-1,2,-1,1,8,79,6,1,255,-1,50000,0,81,132096,0,58000,1,227,265121,77,79,0,2,1,264947,0,1,1,265058,265121,366,0,0,264947,0,0,2,4202496,78,7,264925,1,1,7,115998,265121,264925,1,265058,4,265035,9,0,0,77,0,0,132096,1,4,115997,1,264936,65,264947,1,167,265035,8,0,90,0,255,264058,50,79,0,264058,0,1,0,264947,265058,1899,115997,0,78,2,9
VfL Wolfsburg,210,0,0,1,45,4,1,227337,6,3,0,2,81,6,0,0,2,255,0,226302,-1,2,-1,1,10,80,225,210,255,-1,80500,0,81,4194944,0,5200,210,90,227337,81,80,0,2,180,240717,0,1,210,226302,227337,316,0,0,240717,0,0,2,270464,78,7,265055,1,1,9,115997,265409,227337,210,265055,2,265063,10,0,0,81,0,0,131712,100,4,115998,1,73027,50,240717,210,530,265063,10,0,90,0,255,226302,52,80,0,226302,0,1,0,240717,227337,1945,115998,0,78,2,9
TSG Hoffenheim,80,0,0,1,166,4,1,264988,3,0,0,91,71,6,0,0,2,255,0,265025,-1,2,-1,1,8,73,48,80,255,-1,13000,0,71,525312,0,30150,80,1,265025,77,73,0,2,93,265025,0,1,80,265025,265025,316,0,0,265025,0,0,2,532480,73,0,79516,1,0,3,115997,272657,80770,80,79516,0,265025,8,0,0,77,0,0,263168,31,4,115999,1,264988,30,265025,80,450,80770,6,0,90,0,255,83650,49,73,0,83650,0,1,0,265025,272657,1899,115999,0,73,2,0
SGS Essen,255,0,0,1,255,4,1,265039,4,0,0,0,73,6,0,0,2,255,0,272338,-1,2,-1,1,7,73,0,0,255,-1,4000,0,73,532480,0,20650,255,0,272338,71,73,0,2,0,265046,0,1,127,272338,272338,316,0,0,265046,0,0,2,528384,73,0,74794,1,0,2,115996,272338,271819,255,74794,0,272338,3,0,0,71,1,0,270336,127,4,116001,2,73017,30,265046,255,656,271819,4,0,90,0,255,272340,51,73,0,272340,0,1,0,265046,272338,1968,116001,0,73,2,0
SC Freiburg,220,0,1,1,43,4,1,265069,6,0,0,255,74,7,0,0,2,1,0,271839,-1,2,-1,1,7,74,255,1,1,-1,10000,0,74,525312,0,34700,1,255,271839,74,74,0,2,1,265080,0,1,220,271839,271839,316,0,0,265080,0,0,2,532480,74,0,265070,1,0,5,115999,271839,265070,1,275849,0,271839,6,0,0,74,0,0,263168,228,4,116002,1,72333,30,265080,1,168,265073,7,0,90,0,1,271839,48,74,0,275849,0,1,0,265080,271839,1904,116002,0,74,1,0
1. FC Köln,150,0,1,1,28,4,1,248715,5,0,0,1,73,5,0,0,2,255,0,271788,-1,2,-1,1,6,74,1,150,255,-1,5000,0,73,4202496,0,50000,150,1,271788,75,74,0,2,41,279523,0,1,150,271952,271952,316,0,0,279523,0,0,2,266240,73,0,73021,1,0,2,115996,271788,271952,150,73021,0,264940,4,0,0,75,1,0,4202496,218,4,116003,2,264940,50,279523,150,249,265091,3,0,90,0,255,226355,50,74,0,226355,0,1,0,279523,271952,1948,116003,0,73,1,0
SV Werder Bremen,255,0,25,1,73,4,1,265116,7,0,0,52,72,7,0,0,2,255,0,73023,-1,2,-1,1,8,73,81,255,255,-1,6000,0,72,132096,0,42100,255,1,73023,75,73,0,2,129,265382,0,1,255,73023,73023,316,0,0,265382,0,0,2,4202496,72,0,265116,1,0,2,132533,73023,265116,255,274846,0,73023,6,0,0,75,1,0,132096,1,4,116004,1,265120,65,265382,255,70,264921,5,0,90,0,255,73023,53,73,0,274846,0,1,0,265382,73023,1899,116004,0,72,2,0
Carl Zeiss Jena,255,0,0,1,207,4,1,272283,2,0,0,255,68,6,0,0,2,248,0,272284,-1,1,-1,1,11,69,255,245,0,-1,2000,0,68,532480,0,12990,225,255,272284,70,69,0,1,103,79730,0,1,245,272284,275528,316,0,0,79730,0,0,2,528384,67,0,275528,1,1,1,116004,75092,275528,255,266406,0,272284,3,0,0,70,0,4,270336,0,4,116005,2,72477,30,79730,255,610,72479,2,0,90,0,236,272284,50,69,0,266406,0,1,0,79730,272284,1903,116005,0,67,1,0
Arsenal,1,0,0,0,53,3,1,245872,10,0,0,75,84,9,0,0,2,255,0,265239,-1,3,-1,0,0,84,197,1,255,-1,129500,0,84,4194944,0,4500,1,211,265239,85,84,0,3,26,258980,0,1,1,237288,265239,366,0,0,258980,0,0,2,270464,84,15,257001,1,0,9,116010,265239,276552,1,257001,2,237288,10,0,0,85,0,0,131712,218,4,116009,1,245872,50,258980,1,285,276552,9,0,76,0,255,239761,51,84,0,239761,0,1,0,258980,237288,1886,116009,0,84,2,14
Chelsea,48,0,0,0,137,3,1,245882,9,0,0,160,83,8,0,0,2,255,0,245882,-1,3,-1,0,0,83,75,85,255,-1,120000,0,83,4194944,0,40343,200,28,261733,86,83,0,3,20,227125,0,1,48,245882,265249,366,0,0,227125,0,0,2,270464,82,8,265249,1,0,9,116009,261733,273466,200,265249,0,227125,10,0,0,86,0,0,131712,0,4,116010,1,262093,50,227125,85,285,273466,10,0,76,0,255,276285,51,83,0,276285,0,1,0,227125,245882,1905,116010,0,82,1,9
Spurs,29,0,0,0,255,3,1,256489,5,0,0,211,76,6,0,0,2,15,0,266598,-1,2,-1,0,0,76,177,37,75,-1,37730,0,76,263232,0,6500,110,153,266598,72,76,0,2,255,75725,0,1,29,266598,266598,366,0,0,75725,0,0,3,532544,75,0,273177,1,0,5,116009,279885,279885,110,273177,0,256489,6,0,0,72,0,0,263232,255,4,116011,1,266939,30,75725,37,285,265246,4,0,76,0,32,256489,51,76,0,256489,0,1,0,75725,266598,1882,116011,0,75,1,2
Manchester Utd,1,0,0,0,1,3,1,265293,8,0,0,30,81,7,0,0,2,255,0,263011,-1,2,-1,0,-2,81,30,1,255,-1,95290,0,81,4194944,0,12000,1,30,263011,83,81,0,2,1,266254,0,1,1,263011,263011,366,0,0,266254,0,0,1,270464,80,0,227013,1,0,7,116017,247477,265340,1,227013,0,265293,9,0,0,83,0,0,131712,199,4,116012,1,273227,50,266254,1,300,265340,8,0,76,0,255,263011,53,81,0,263011,0,1,0,266254,247477,1878,116012,0,80,2,1
Brighton,72,0,5,0,166,3,1,227255,4,0,0,0,76,7,0,0,2,255,0,271568,-1,2,-1,0,0,76,171,99,255,-1,25730,0,76,270400,0,6134,168,240,271568,77,76,0,2,57,276846,0,1,72,271568,271568,366,0,0,276846,0,0,3,528448,75,0,271568,1,0,3,116014,227255,271568,168,74404,0,227255,4,0,0,77,0,0,263232,0,4,116013,2,275923,30,276846,99,74,265292,5,0,76,0,255,227255,51,76,0,74404,0,1,0,276846,227255,1901,116013,0,75,1,0
West Ham,16,0,0,0,57,3,1,227115,2,0,0,60,76,7,0,0,2,27,0,227348,-1,2,-1,0,0,76,30,38,231,-1,52570,0,76,266304,1,6078,32,100,264955,77,76,0,2,37,264950,0,1,16,227348,227348,366,0,0,264950,0,0,4,528448,75,0,227115,1,0,4,116011,227348,227115,32,227348,0,227348,6,0,0,77,0,0,270400,123,4,116014,3,275454,30,264950,38,285,72791,4,0,76,0,177,248728,51,76,0,248728,0,1,0,264950,227348,1895,116014,0,75,1,0
Aston Villa,139,0,0,0,51,3,1,265237,5,0,0,78,75,4,1,0,2,148,0,253417,-1,2,-1,0,-1,76,47,0,229,-1,45000,0,75,270336,0,42657,51,124,253417,76,76,0,2,0,265274,0,1,102,253417,253417,366,0,0,265274,0,0,4,528384,76,0,265243,1,0,4,116020,264866,267374,226,265243,0,253417,3,0,0,76,0,0,263168,102,4,116015,2,264969,30,265274,184,54,267374,4,0,76,0,190,80614,52,76,0,80614,0,1,0,265274,253417,1874,116015,0,76,1,1
Everton,0,0,14,0,156,3,1,264831,4,0,0,201,76,3,0,0,2,255,0,245834,-1,2,-1,0,-2,76,99,54,255,-1,63550,0,76,270464,0,39572,156,45,245834,76,76,0,2,54,272049,0,1,0,245834,245834,366,0,0,272049,0,0,1,528512,74,1,275964,1,0,3,116343,245834,275964,156,271739,0,271739,6,0,0,76,0,0,263296,0,4,116016,2,272051,30,272049,54,282,264831,4,0,76,0,255,245834,53,76,0,271739,0,1,0,272049,245834,1878,116016,0,74,1,1
Manchester City,133,0,0,0,233,3,1,227254,8,0,0,94,80,8,0,0,2,255,0,227254,-1,2,-1,0,-2,82,40,177,255,-1,81430,0,80,4194832,0,7000,222,0,227254,89,82,0,2,173,246219,0,1,133,227254,227254,366,0,0,246219,0,0,2,270352,80,1,257008,1,0,7,116012,227254,276350,222,257008,0,246219,8,0,0,89,0,1,131600,108,4,116017,1,265317,50,246219,177,300,276350,8,0,76,0,255,233746,53,82,0,233746,0,1,0,246219,245830,1880,116017,0,80,1,7
Leicester City,37,0,0,0,160,3,1,265233,3,0,0,189,74,5,0,0,2,255,0,265224,-1,2,-1,0,-1,74,101,77,255,-1,25440,0,74,532544,0,32261,173,57,258704,75,74,0,2,51,265234,0,1,37,265224,265233,366,0,0,265234,0,0,2,528448,75,0,227113,1,0,2,116015,265224,265233,173,227113,0,265233,3,0,0,75,0,0,270400,0,4,116020,2,246208,30,265234,77,272,265252,3,0,76,0,255,265253,52,74,0,265253,0,1,0,265234,265233,1884,116020,0,75,1,0
RB Leipzig,175,0,1,1,255,4,1,262089,5,0,0,71,74,7,0,0,2,221,0,273563,-1,2,-1,1,12,74,31,175,65,-1,5000,0,74,525312,0,47800,175,1,78685,70,74,0,2,255,277263,0,1,175,273563,273563,366,0,0,277263,0,0,2,532480,73,0,265896,1,1,2,132589,78685,78685,175,267389,0,273563,7,0,0,70,0,0,263168,255,4,116021,1,265378,30,277263,175,273,262089,3,0,90,0,7,273563,51,74,0,267389,0,1,0,277263,273563,2009,116021,0,73,2,0
OL Lyonnes,250,0,0,1,34,4,1,227316,7,0,0,83,82,8,1,0,2,39,0,265674,-1,3,-1,1,4,84,180,250,136,-1,102000,0,82,66176,0,59186,250,210,265674,85,84,0,3,0,261740,0,1,250,265674,265674,366,0,0,261740,0,0,2,73856,84,18,277951,1,1,10,116034,265674,277951,250,265905,8,227316,10,0,0,85,0,0,66176,217,4,116033,1,265536,90,246272,250,293,231432,10,0,88,0,66,246272,45,84,0,265905,0,1,0,261740,261740,1950,116033,0,84,2,10
Paris SG,1,0,0,1,116,4,1,233662,7,0,0,255,80,8,0,0,2,200,0,267531,-1,2,-1,1,2,80,255,62,41,-1,94000,0,80,4194944,0,47929,116,255,233662,78,80,0,2,62,267531,0,1,1,267531,233662,366,0,0,267531,0,0,7,270464,80,1,246630,1,1,8,116033,233662,275916,116,233662,0,267531,10,0,0,78,0,0,131712,1,4,116034,1,262457,50,278225,62,373,233852,9,0,88,0,42,278225,48,80,0,275916,0,1,0,267531,267531,1970,116034,0,80,1,4
Paris FC,30,0,0,1,92,4,1,245697,5,0,0,189,78,7,0,0,2,232,0,265861,-1,2,-1,1,2,77,112,30,17,-1,35000,0,78,132224,0,18528,30,80,265861,85,77,0,2,33,245697,0,1,30,265861,265861,316,0,0,245697,0,0,2,4202624,77,6,276765,1,0,4,116034,265861,265861,30,276765,0,265861,9,0,0,85,0,0,132224,14,4,116035,1,264963,65,245697,30,373,276862,8,0,88,0,32,269811,48,77,0,269811,0,1,0,245697,265861,1969,116035,0,77,2,2
FC Fleury 91,30,0,0,1,64,4,1,264895,2,0,0,1,75,5,1,0,2,73,0,268640,-1,2,-1,1,2,74,1,30,74,-1,9000,0,75,528512,0,2490,30,1,265968,70,74,0,2,43,246177,0,1,30,268640,268640,316,0,0,246177,0,0,2,526464,75,0,265968,15,0,2,116035,265833,265833,30,265968,0,265968,4,0,0,70,0,0,270464,230,4,116036,3,271890,30,246177,30,883,227356,6,0,88,0,69,268640,48,74,0,268640,0,1,2,246177,265833,1970,116036,0,75,2,0
Montpellier,30,0,0,1,33,4,1,231347,3,0,0,255,69,5,0,0,2,2,0,265903,-1,1,-1,1,3,71,255,30,124,-1,12000,0,69,528384,0,1280,30,255,265903,71,71,0,1,89,271888,0,1,30,265903,265903,316,0,0,271888,0,0,1,526336,75,2,265840,1,0,2,116033,75178,75368,30,75178,0,265903,3,0,0,71,0,0,270336,233,4,116037,3,265894,30,271888,30,326,231347,5,0,88,0,64,265903,43,71,0,75368,0,1,0,271888,265903,1974,116037,0,75,2,3
Dijon FCO,250,0,9,1,52,4,1,265883,1,0,0,18,73,5,0,0,2,255,0,265878,-1,2,-1,1,5,72,9,250,255,-1,2500,0,73,532480,0,1500,250,111,265878,73,72,0,2,21,271165,0,1,250,265878,265878,316,0,0,271165,0,0,2,528384,71,0,268261,15,0,1,116417,73677,268261,250,73677,0,265878,1,0,0,73,0,0,270336,215,4,116039,2,270708,30,271165,250,136,80036,4,0,88,0,255,265716,47,72,0,265716,0,1,2,271165,265878,1998,116039,0,71,0,0
AS Saint Étienne,255,0,0,1,45,4,1,267661,2,0,0,76,71,3,0,0,2,250,1,267661,-1,1,-1,1,2,70,130,255,250,-1,4000,0,71,4202560,0,1250,255,30,267661,71,70,0,1,130,268649,0,1,255,267661,267661,316,0,0,268649,0,0,1,266304,70,0,277067,0,0,1,116033,267661,267661,255,277067,0,265901,4,0,0,71,0,0,4202560,0,4,116044,2,80039,50,268649,255,414,265901,2,0,88,0,250,79534,49,70,0,79534,0,1,0,268649,267661,1919,116044,0,70,1,1
Juventus,25,0,0,1,255,4,1,227067,6,0,0,170,79,6,0,0,2,30,1,261835,-1,2,-1,1,7,76,151,25,30,-1,78000,0,79,4202624,0,41507,25,248,261835,69,76,0,2,255,266931,0,1,25,265240,266937,366,0,0,266931,0,0,4,266368,77,6,273099,1,1,7,116326,261835,262092,25,273099,0,266995,8,0,0,69,0,0,132224,255,4,116280,2,265240,50,266931,25,485,262092,10,0,110,0,30,266995,45,76,0,266995,0,1,0,266931,261835,1897,116280,0,77,2,4
Roma,53,0,0,1,0,4,1,266973,7,0,0,0,79,6,0,0,2,250,0,227095,-1,2,-1,1,12,76,187,74,250,-1,60000,0,79,4202496,0,70634,117,250,227101,78,76,0,2,0,227101,0,1,53,227101,227101,366,0,0,227101,0,0,2,266240,73,2,266969,1,1,7,116280,227101,266973,117,266969,0,261514,7,0,0,78,0,0,132096,150,4,116282,2,276098,50,227101,74,408,266973,10,0,110,0,250,261514,41,76,0,261514,0,1,0,227101,227101,1927,116282,0,73,1,2
